system:index,CC_area,CC_total_port,DC_area,DIC_area,DIC_max,IC_area,LS_DATE,LS_ID: ,LS_SAT,RGI_ID,SC_area,SC_max,SC_mean,SC_median,SC_min,SC_stdev,cc_TSLrange_percent,class_coverage,glacier_DEM_max,glacier_DEM_min,glacier_area,tool_version,.geo
0000ff8714860b422050_2_LC08_134040_20210328,0.05761321272922718,0.8462271036410179,9.002078842488509E-4,0.14313382416437817,5151,0.1422336162801293,2021-03-28,LC08_L1TP_134040_20210328_20210402_01_T1,LANDSAT_8,RGI60-15.12263,6.607497719016995,4421,4387.41323126624,4399.999999999999,4257,34.611007861005426,0.6577115667755381,99.12836582710236,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_1_2_LE07_134040_20210405,0.2790621363756792,4.789103743671752,0.0,0.003600872447847028,4854,0.003600872447847028,2021-04-05,LE07_L1TP_134040_20210405_20210501_01_T1,LANDSAT_7,RGI60-15.12263,5.544359119384554,4421,4390.896641459754,4404.0,4257,34.29025432708744,2.810538569564249,84.84171791196276,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210413,3.7889646615265717,54.99091805263083,0.0,0.0,NaN,0.0,2021-04-13,LC08_L1TP_134040_20210413_20210423_01_T1,LANDSAT_8,RGI60-15.12263,3.101199675382389,4426,4367.649049187293,4372.0,4257,42.35030905137934,48.82168098411349,100.32111922976964,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_1_2_LE07_134040_20210421,1.1261659386655887,19.166712003023353,0.0,0.01980483085919714,4978,0.01980483085919714,2021-04-21,LE07_L1TP_134040_20210421_20210517_01_T1,LANDSAT_7,RGI60-15.12263,4.729663690271139,4518,4487.664890747235,4490.0,4419,24.51329037044708,59.40674781541937,85.54951556238946,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210429,0.06661529568784266,0.9596703632990651,0.004501040963739078,0.1539361068195329,5151,0.14943506290510478,2021-04-29,LC08_L1TP_134040_20210429_20210507_01_T1,LANDSAT_8,RGI60-15.12263,6.720925398031266,4421,4387.421137797914,4399.999999999999,4257,34.64260154502844,0.6577115667755381,101.06823022366649,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210803,6.958581000326203,99.99999991345744,0.0,0.0,NaN,0.0,2021-08-03,LC08_L1TP_134040_20210803_20210811_01_T1,LANDSAT_8,RGI60-15.12263,0.0,NaN,NaN,NaN,NaN,NaN,100,101.31726818058675,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210904,6.869459437810711,100.0,0.0,0.0,NaN,0.0,2021-09-04,LC08_L1TP_134040_20210904_20210910_01_T1,LANDSAT_8,RGI60-15.12263,0.0,NaN,NaN,NaN,NaN,NaN,100,100.01965393251469,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210920,0.6697556044259062,9.862195937770412,1.010035867956998,1.931852740676308,5151,0.921816819410428,2021-09-20,LC08_L1TP_134040_20210920_20210925_01_T1,LANDSAT_8,RGI60-15.12263,4.18953225902462,4521,4506.6301234160255,4508.999999999999,4483,11.011080575207723,5.543761772471148,98.8793297323335,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_1_2_LE07_134040_20210928,0.6598525625603521,11.454963407954327,1.0109347967628441,3.0877113716742106,5151,2.076776420364719,2021-09-28,LE07_L1TP_134040_20210928_20211024_01_T1,LANDSAT_7,RGI60-15.12263,2.012843611682496,4670,4656.238016528924,4656.0,4635,10.44941007613119,4.8624979509986055,83.8718042180422,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20211006,6.252823407041738,93.52371961469713,0.012603117998732894,0.3078657892267198,4954,0.295262671227987,2021-10-06,LC08_L1TP_134040_20211006_20211013_01_T1,LANDSAT_8,RGI60-15.12263,0.1251263532085392,4843,4841.274939172749,4842.0,4835,2.586765939009488,52.577971582109114,97.34579053237422,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20211022,5.529947430109654,84.37020079457447,0.0,0.09992405779514936,4438,0.09992405779514936,2021-10-22,LC08_L1TP_134040_20211022_20211102_01_T1,LANDSAT_8,RGI60-15.12263,0.923612919902135,4421,4414.878437047758,4416.0,4399,5.791540323829353,6.798550593741963,95.43214910316537,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20211107,3.026488919038251,47.28557501100739,0.0018004318629828184,0.1503369737409752,5142,0.14853654187799237,2021-11-07,LC08_L1TP_134040_20211107_20211117_01_T1,LANDSAT_8,RGI60-15.12263,3.222722505604647,4510,4477.389115295331,4483.0,4420,22.517723460014672,77.65223597591213,93.19083383115914,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20211209,4.831387745560231,79.19426504638969,0.0,0.15033617373656813,4977,0.15033617373656813,2021-12-09,LC08_L1TP_134040_20211209_20211215_01_T1,LANDSAT_8,RGI60-15.12263,1.1189550376417574,4420,4388.185571829232,4402.0,4307,32.504282718774505,65.87252880734275,88.8261716580517,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_2_LC08_134040_20200105,1.7203135905244182,100.0,0.0,0.0,NaN,0.0,2020-01-05,LC08_L1TP_134040_20200105_20200113_01_T1,LANDSAT_8,RGI60-15.12266,0.0,NaN,NaN,NaN,NaN,NaN,100,83.3455200894211,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_2_LC08_134040_20200206,0.02790660005651922,1.5048488130731075,0.0,0.09272201492720059,5051,0.09272201492720059,2020-02-06,LC08_L1TP_134040_20200206_20200211_01_T1,LANDSAT_8,RGI60-15.12266,1.7338168721432001,4298,4286.603195621469,4288.0,4257,10.177219788134886,0.0,89.8439213467135,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_2_LC08_134040_20200222,0.8525013060493319,43.96454266008034,0.0,0.0,NaN,0.0,2020-02-22,LC08_L1TP_134040_20200222_20200225_01_T1,LANDSAT_8,RGI60-15.12266,1.0865642574564864,4312,4303.043384879727,4305.0,4285,7.764945266993449,39.322597677524676,93.94358599015264,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_1_2_LE07_134040_20200301,1.7086104686768895,99.9473403924782,0.0,0.0,NaN,0.0,2020-03-01,LE07_L1TP_134040_20200301_20200327_01_T1,LANDSAT_7,RGI60-15.12266,9.00222166591254E-4,4397,4397.0,4397.0,4397,0.0,100,82.82214264074409,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
